"","month_no","cases","admin1_name","admin1_code","dep_short","pop_2016_DANE","month_num","month_name","year","inc_rate"
"1",1,0,"Bolívar",13,"BOL",2122021,6,"Jun",2015,0
"2",1,0,"Cundinamarca",25,"CUN",2721368,6,"Jun",2015,0
"3",1,0,"Santander",68,"SAN",2071044,6,"Jun",2015,0
"4",1,0,"Guaviare",95,"GUV",112621,6,"Jun",2015,0
"5",1,0,"Córdoba",23,"COR",1736218,6,"Jun",2015,0
"6",1,0,"Risaralda",66,"RIS",957250,6,"Jun",2015,0
"7",1,0,"Caldas",17,"CAL",989942,6,"Jun",2015,0
"8",1,0,"Huila",41,"HUI",1168910,6,"Jun",2015,0
"9",1,0,"Meta",50,"MET",979683,6,"Jun",2015,0
"10",1,0,"Casanare",85,"CAS",362698,6,"Jun",2015,0
"11",1,0,"Boyacá",15,"BOY",1278061,6,"Jun",2015,0
"12",1,0,"Magdalena",47,"MAG",1272278,6,"Jun",2015,0
"13",1,0,"Cauca",19,"CAU",1391889,6,"Jun",2015,0
"14",1,0,"Vaupés",97,"VAU",44079,6,"Jun",2015,0
"15",1,0,"Nariño",52,"NAR",1766008,6,"Jun",2015,0
"16",1,0,"Norte de Santander",54,"NDS",1367716,6,"Jun",2015,0
"17",1,0,"Caquetá",18,"CAQ",483834,6,"Jun",2015,0
"18",1,0,"La Guajira",44,"LAG",985498,6,"Jun",2015,0
"19",1,0,"Cesar",20,"CES",1041203,6,"Jun",2015,0
"20",1,0,"Putumayo",86,"PUT",349537,6,"Jun",2015,0
"21",1,0,"Antioquia",5,"ANQ",6534764,6,"Jun",2015,0
"22",1,0,"Sucre",70,"SUC",859909,6,"Jun",2015,0
"23",1,0,"Amazonas",91,"AMA",77088,6,"Jun",2015,0
"24",1,0,"Vichada",99,"VIC",73702,6,"Jun",2015,0
"25",1,0,"Chocó",27,"CHO",505046,6,"Jun",2015,0
"26",1,0,"San Andrés",88,"SAA",77101,6,"Jun",2015,0
"27",1,0,"Atlántico",8,"ANT",2489709,6,"Jun",2015,0
"28",1,0,"Tolima",73,"TOL",1412230,6,"Jun",2015,0
"29",1,0,"Valle del Cauca",76,"VDC",4660438,6,"Jun",2015,0
"30",1,0,"Quindío",63,"QUI",568473,6,"Jun",2015,0
"31",1,0,"Guainía",94,"GUA",42123,6,"Jun",2015,0
"32",1,0,"Arauca",81,"ARA",265190,6,"Jun",2015,0
"33",2,0,"Bolívar",13,"BOL",2122021,7,"Jul",2015,0
"34",2,0,"Cundinamarca",25,"CUN",2721368,7,"Jul",2015,0
"35",2,0,"Santander",68,"SAN",2071044,7,"Jul",2015,0
"36",2,0,"Guaviare",95,"GUV",112621,7,"Jul",2015,0
"37",2,0,"Córdoba",23,"COR",1736218,7,"Jul",2015,0
"38",2,0,"Risaralda",66,"RIS",957250,7,"Jul",2015,0
"39",2,0,"Caldas",17,"CAL",989942,7,"Jul",2015,0
"40",2,0,"Huila",41,"HUI",1168910,7,"Jul",2015,0
"41",2,0,"Meta",50,"MET",979683,7,"Jul",2015,0
"42",2,0,"Casanare",85,"CAS",362698,7,"Jul",2015,0
"43",2,0,"Boyacá",15,"BOY",1278061,7,"Jul",2015,0
"44",2,0,"Magdalena",47,"MAG",1272278,7,"Jul",2015,0
"45",2,0,"Cauca",19,"CAU",1391889,7,"Jul",2015,0
"46",2,0,"Vaupés",97,"VAU",44079,7,"Jul",2015,0
"47",2,0,"Nariño",52,"NAR",1766008,7,"Jul",2015,0
"48",2,0,"Norte de Santander",54,"NDS",1367716,7,"Jul",2015,0
"49",2,0,"Caquetá",18,"CAQ",483834,7,"Jul",2015,0
"50",2,0,"La Guajira",44,"LAG",985498,7,"Jul",2015,0
"51",2,0,"Cesar",20,"CES",1041203,7,"Jul",2015,0
"52",2,0,"Putumayo",86,"PUT",349537,7,"Jul",2015,0
"53",2,0,"Antioquia",5,"ANQ",6534764,7,"Jul",2015,0
"54",2,0,"Sucre",70,"SUC",859909,7,"Jul",2015,0
"55",2,0,"Amazonas",91,"AMA",77088,7,"Jul",2015,0
"56",2,0,"Vichada",99,"VIC",73702,7,"Jul",2015,0
"57",2,0,"Chocó",27,"CHO",505046,7,"Jul",2015,0
"58",2,0,"San Andrés",88,"SAA",77101,7,"Jul",2015,0
"59",2,0,"Atlántico",8,"ANT",2489709,7,"Jul",2015,0
"60",2,0,"Tolima",73,"TOL",1412230,7,"Jul",2015,0
"61",2,0,"Valle del Cauca",76,"VDC",4660438,7,"Jul",2015,0
"62",2,0,"Quindío",63,"QUI",568473,7,"Jul",2015,0
"63",2,0,"Guainía",94,"GUA",42123,7,"Jul",2015,0
"64",2,0,"Arauca",81,"ARA",265190,7,"Jul",2015,0
"65",3,0,"Bolívar",13,"BOL",2122021,8,"Aug",2015,0
"66",3,0,"Cundinamarca",25,"CUN",2721368,8,"Aug",2015,0
"67",3,0,"Santander",68,"SAN",2071044,8,"Aug",2015,0
"68",3,0,"Guaviare",95,"GUV",112621,8,"Aug",2015,0
"69",3,0,"Córdoba",23,"COR",1736218,8,"Aug",2015,0
"70",3,0,"Risaralda",66,"RIS",957250,8,"Aug",2015,0
"71",3,0,"Caldas",17,"CAL",989942,8,"Aug",2015,0
"72",3,1,"Huila",41,"HUI",1168910,8,"Aug",2015,0.0855497856977868
"73",3,0,"Meta",50,"MET",979683,8,"Aug",2015,0
"74",3,3,"Casanare",85,"CAS",362698,8,"Aug",2015,0.827134420371769
"75",3,0,"Boyacá",15,"BOY",1278061,8,"Aug",2015,0
"76",3,0,"Magdalena",47,"MAG",1272278,8,"Aug",2015,0
"77",3,1,"Cauca",19,"CAU",1391889,8,"Aug",2015,0.0718448094639731
"78",3,0,"Vaupés",97,"VAU",44079,8,"Aug",2015,0
"79",3,1,"Nariño",52,"NAR",1766008,8,"Aug",2015,0.0566248850514833
"80",3,62,"Norte de Santander",54,"NDS",1367716,8,"Aug",2015,4.53310482585566
"81",3,0,"Caquetá",18,"CAQ",483834,8,"Aug",2015,0
"82",3,0,"La Guajira",44,"LAG",985498,8,"Aug",2015,0
"83",3,0,"Cesar",20,"CES",1041203,8,"Aug",2015,0
"84",3,3,"Putumayo",86,"PUT",349537,8,"Aug",2015,0.858278236638754
"85",3,0,"Antioquia",5,"ANQ",6534764,8,"Aug",2015,0
"86",3,0,"Sucre",70,"SUC",859909,8,"Aug",2015,0
"87",3,0,"Amazonas",91,"AMA",77088,8,"Aug",2015,0
"88",3,0,"Vichada",99,"VIC",73702,8,"Aug",2015,0
"89",3,0,"Chocó",27,"CHO",505046,8,"Aug",2015,0
"90",3,1,"San Andrés",88,"SAA",77101,8,"Aug",2015,1.29700003891
"91",3,0,"Atlántico",8,"ANT",2489709,8,"Aug",2015,0
"92",3,0,"Tolima",73,"TOL",1412230,8,"Aug",2015,0
"93",3,1,"Valle del Cauca",76,"VDC",4660438,8,"Aug",2015,0.0214572106741899
"94",3,0,"Quindío",63,"QUI",568473,8,"Aug",2015,0
"95",3,0,"Guainía",94,"GUA",42123,8,"Aug",2015,0
"96",3,0,"Arauca",81,"ARA",265190,8,"Aug",2015,0
"97",4,2,"Huila",41,"HUI",1168910,9,"Sep",2015,0.171099571395574
"98",4,0,"Amazonas",91,"AMA",77088,9,"Sep",2015,0
"99",4,0,"Caldas",17,"CAL",989942,9,"Sep",2015,0
